TripDate,Destination,Material,Weight
9/4/15,ACE INTERM,TRASH,0.81
9/7/15,ACE INTERM,TRASH,0.79
9/8/15,ACE INTERM,TRASH,0.61
9/9/15,ACE INTERM,TRASH,1.18
9/11/15,SSL MSW,TRASH,0.84
9/15/15,ACE INTERM,TRASH,0.68
9/17/15,ACE INTERM,TRASH,3.11
9/18/15,ACE INTERM,TRASH,1.24
9/21/15,ACE INTERM,TRASH,1.16
9/22/15,ACE INTERM,TRASH,1.18
9/23/15,ACE INTERM,TRASH,1.26
9/25/15,ACE INTERM,TRASH,1.29
9/28/15,ACE INTERM,TRASH,1.11
9/29/15,SSL MSW,TRASH,0.95
9/30/15,ACE INTERM,TRASH,1.31
10/16/15,ACE INTERM,C&D,0.56
10/30/15,ACE INTERM,C&D,1.30
10/2/15,ROCKY MTN,SINGLE STR,0.42
10/7/15,ROCKY MTN,SINGLE STR,0.71
10/9/15,ROCKY MTN,SINGLE STR,0.42
10/14/15,ROCKY MTN,SINGLE STR,0.33
10/16/15,ROCKY MTN,SINGLE STR,0.21
10/21/15,ROCKY MTN,SINGLE STR,0.61
10/23/15,Rocky Mtn.,SINGLE STR,0.40
10/28/15,ROCKY MTN,SINGLE STR,0.69
10/2/15,ACE INTERM,TRASH,1.30
10/5/15,ACE INTERM,TRASH,1.06
10/6/15,ACE INTERM,TRASH,0.91
10/7/15,ACE INTERM,TRASH,1.02
10/9/15,ACE INTERM,TRASH,1.22
10/9/15,ACE INTERM,TRASH,0.53
10/12/15,WASTE MSW,TRASH,0.79
10/14/15,ACE INTERM,TRASH,0.50
10/14/15,ACE INTERM,TRASH,0.42
10/16/15,ACE INTERM,TRASH,0.14
10/19/15,ACE INTERM,TRASH,0.55
10/20/15,ACE INTERM,TRASH,0.25
10/21/15,ACE INTERM,TRASH,1.07
10/23/15,ACE INTERM,TRASH,2.22
10/26/15,ACE INTERM,TRASH,1.23
10/27/15,ACE INTERM,TRASH,1.37
10/28/15,ACE INTERM,TRASH,1.78
10/30/15,ACE INTERM,TRASH,1.01
11/24/15,ACE INTERM,C&D,0.52
11/2/15,ROCKY MTN,SINGLE STR,0.69
11/4/15,Rocky Mtn.,SINGLE STR,0.36
11/9/15,ROCKY MTN,SINGLE STR,0.50
11/11/15,Rocky Mtn.,SINGLE STR,0.40
11/13/15,ROCKY MTN,SINGLE STR,0.35
11/16/15,ROCKY MTN,SINGLE STR,0.12
11/18/15,ROCKY MTN,SINGLE STR,0.28
11/20/15,Rocky Mtn.,SINGLE STR,0.36
11/25/15,Rocky Mtn.,SINGLE STR,6.50
11/2/15,ACE INTERM,TRASH,1.02
11/3/15,ACE INTERM,TRASH,0.64
11/4/15,ACE INTERM,TRASH,1.20
11/6/15,ACE INTERM,TRASH,0.95
11/9/15,ACE INTERM,TRASH,0.63
11/11/15,ACE INTERM,TRASH,2.24
11/11/15,ACE INTERM,TRASH,1.20
11/13/15,ACE INTERM,TRASH,0.85
11/13/15,ACE INTERM,TRASH,1.15
11/16/15,ACE INTERM,TRASH,0.49
11/18/15,ACE INTERM,TRASH,1.49
11/20/15,ACE INTERM,TRASH,0.98
11/20/15,ACE INTERM,TRASH,1.73
11/23/15,ACE INTERM,TRASH,0.97
11/25/15,SSL MSW,TRASH,0.27
11/30/15,ACE INTERM,TRASH,0.95
12/2/15,Rocky Mtn.,SINGLE STR,0.58
12/4/15,Rocky Mtn.,SINGLE STR,0.42
12/7/15,Rocky Mtn.,SINGLE STR,0.32
12/9/15,ROCKY MTN,SINGLE STR,0.68
12/14/15,Rocky Mtn.,SINGLE STR,0.49
12/16/15,Rocky Mtn.,SINGLE STR,0.39
12/18/15,Rocky Mtn.,SINGLE STR,0.35
12/21/15,Rocky Mtn.,SINGLE STR,0.10
12/23/15,Rocky Mtn.,SINGLE STR,0.14
12/31/15,Rocky Mtn.,SINGLE STR,0.18
12/1/15,ACE INTERM,TRASH,1.14
12/2/15,ACE INTERM,TRASH,0.97
12/4/15,ACE INTERM,TRASH,1.10
12/4/15,ACE INTERM,TRASH,0.82
12/7/15,ACE INTERM,TRASH,0.94
12/8/15,ACE INTERM,TRASH,0.96
12/9/15,ACE INTERM,TRASH,1.57
12/11/15,ACE INTERM,TRASH,1.53
12/14/15,ACE INTERM,TRASH,1.61
12/15/15,ACE INTERM,TRASH,1.62
12/16/15,ACE INTERM,TRASH,0.17
12/18/15,ACE INTERM,TRASH,0.29
12/18/15,ACE INTERM,TRASH,0.08
12/21/15,ACE INTERM,TRASH,0.30
12/22/15,ACE INTERM,TRASH,0.12
12/23/15,ACE INTERM,TRASH,0.29
12/31/15,ACE INTERM,TRASH,0.30
